ProductKey,ProductItemCode,Product Pre-Code,Product Name,Sub Category,Product Category,Product Color,Product Size,Product Line,Product Model Name,Product Description,Product Status
107,LJ-3816,LJ,Thin-Jam Lock Nut 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
108,LJ-3824,LJ,Thin-Jam Lock Nut 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
109,LJ-5161,LJ,Thin-Jam Lock Nut 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
110,LJ-5162,LJ,Thin-Jam Lock Nut 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
111,LJ-5811,LJ,Thin-Jam Lock Nut 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
112,LJ-5818,LJ,Thin-Jam Lock Nut 14,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
113,LJ-7161,LJ,Thin-Jam Lock Nut 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
114,LJ-7162,LJ,Thin-Jam Lock Nut 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
115,LJ-9080,LJ,Thin-Jam Lock Nut 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
116,LJ-9161,LJ,Thin-Jam Lock Nut 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
117,LN-1024,LN,Lock Nut 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
118,LN-1032,LN,Lock Nut 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
119,LN-1213,LN,Lock Nut 16,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
120,LN-1220,LN,Lock Nut 17,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
121,LN-1224,LN,Lock Nut 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
122,LN-1420,LN,Lock Nut 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
123,LN-1428,LN,Lock Nut 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
124,LN-3410,LN,Lock Nut 22,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
125,LN-3416,LN,Lock Nut 23,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
126,LN-3816,LN,Lock Nut 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
127,LN-3824,LN,Lock Nut 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
128,LN-4400,LN,Lock Nut 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
129,LN-5161,LN,Lock Nut 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
130,LN-5162,LN,Lock Nut 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
131,LN-5400,LN,Lock Nut 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
132,LN-5811,LN,Lock Nut 20,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
133,LN-5818,LN,Lock Nut 21,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
134,LN-6320,LN,Lock Nut 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
135,LN-7161,LN,Lock Nut 14,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
136,LN-7162,LN,Lock Nut 15,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
137,LN-8320,LN,Lock Nut 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
138,LN-9080,LN,Lock Nut 19,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
139,LN-9161,LN,Lock Nut 18,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
140,LR-2398,LR,Lock Ring,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
141,LR-8520,LR,Lower Head Race,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
142,LW-1000,LW,Lock Washer 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
143,LW-1200,LW,Lock Washer 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
144,LW-1201,LW,Lock Washer 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
145,LW-1400,LW,Lock Washer 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
146,LW-3400,LW,Lock Washer 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
147,LW-3800,LW,Lock Washer 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
148,LW-4000,LW,Lock Washer 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
149,LW-5160,LW,Lock Washer 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
150,LW-5800,LW,Lock Washer 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
151,LW-6000,LW,Lock Washer 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
152,LW-7160,LW,Lock Washer 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
153,LW-8000,LW,Lock Washer 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
154,LW-9160,LW,Lock Washer 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
155,MA-7075,MA,Metal Angle,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
156,MB-2024,MB,Metal Bar 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
157,MB-6061,MB,Metal Bar 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
158,MP-2066,MP,Metal Plate 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
159,MP-2503,MP,Metal Plate 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
160,MP-4960,MP,Metal Plate 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
161,MS-0253,MS,Metal Sheet 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
162,MS-1256,MS,Metal Sheet 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
163,MS-1981,MS,Metal Sheet 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
164,MS-2259,MS,Metal Sheet 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
165,MS-2341,MS,Metal Sheet 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
166,MS-2348,MS,Metal Sheet 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
167,MS-6061,MS,Metal Sheet 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
168,MT-1000,MT,Metal Tread Plate,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
169,NI-4127,NI,LL Nipple,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
170,NI-9522,NI,HL Nipple,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
171,PA-187B,PA,Paint - Black,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
172,PA-361R,PA,Paint - Red,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
173,PA-529S,PA,Paint - Silver,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
174,PA-632U,PA,Paint - Blue,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
175,PA-823Y,PA,Paint - Yellow,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
176,PB-6109,PB,Pinch Bolt,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
177,RA-2345,RA,Cup-Shaped Race,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
178,RA-7490,RA,Cone-Shaped Race,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
179,RF-9198,RF,Reflector,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
180,RM-M464,RM,LL Mountain Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
181,RM-M692,RM,ML Mountain Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
182,RM-M823,RM,HL Mountain Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
183,RM-R436,RM,LL Road Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
184,RM-R600,RM,ML Road Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
185,RM-R800,RM,HL Road Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
186,RM-T801,RM,Touring Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
187,SA-M198,SA,LL Mountain Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
188,SA-M237,SA,ML Mountain Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
189,SA-M687,SA,HL Mountain Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
190,SA-R127,SA,LL Road Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
191,SA-R430,SA,ML Road Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
192,SA-R522,SA,HL Road Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
193,SA-T467,SA,LL Touring Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
194,SA-T612,SA,ML Touring Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
195,SA-T872,SA,HL Touring Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
196,SD-2342,SD,LL Spindle/Axle,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
197,SD-9872,SD,HL Spindle/Axle,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
198,SH-4562,SH,LL Shell,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
199,SH-9312,SH,HL Shell,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
200,SK-9283,SK,Spokes,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
201,SL-0931,SL,Seat Lug,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
202,SM-9087,SM,Stem,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
203,SP-2981,SP,Seat Post,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
204,SR-2098,SR,Steerer,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
205,SS-2985,SS,Seat Stays,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
206,ST-9828,ST,Seat Tube,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
207,TO-2301,TO,Top Tube,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
208,TP-0923,TP,Tension Pulley,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
209,RC-0291,RC,Rear Derailleur Cage,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
210,FR-R92B-58,FR,"HL Road Frame - Black, 58",Road Frames,Components,Black,58,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
211,FR-R92R-58,FR,"HL Road Frame - Red, 58",Road Frames,Components,Red,58,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
212,HL-U509-R,HL,"Sport-100 Helmet, Red",Helmets,Accessories,Red,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
213,HL-U509-R,HL,"Sport-100 Helmet, Red",Helmets,Accessories,Red,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
214,HL-U509-R,HL,"Sport-100 Helmet, Red",Helmets,Accessories,Red,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
215,HL-U509,HL,"Sport-100 Helmet, Black",Helmets,Accessories,Black,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
216,HL-U509,HL,"Sport-100 Helmet, Black",Helmets,Accessories,Black,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
217,HL-U509,HL,"Sport-100 Helmet, Black",Helmets,Accessories,Black,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
218,SO-B909-M,SO,"Mountain Bike Socks, M",Socks,Clothing,White,M,M ,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,Outdate
219,SO-B909-L,SO,"Mountain Bike Socks, L",Socks,Clothing,White,L,M ,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,Outdate
220,HL-U509-B,HL,"Sport-100 Helmet, Blue",Helmets,Accessories,Blue,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
221,HL-U509-B,HL,"Sport-100 Helmet, Blue",Helmets,Accessories,Blue,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
222,HL-U509-B,HL,"Sport-100 Helmet, Blue",Helmets,Accessories,Blue,NULL,S ,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
223,CA-1098,CA,AWC Logo Cap,Caps,Clothing,Multi,NULL,S ,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Outdate
224,CA-1098,CA,AWC Logo Cap,Caps,Clothing,Multi,NULL,S ,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Outdate
225,CA-1098,CA,AWC Logo Cap,Caps,Clothing,Multi,NULL,S ,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Current
226,LJ-0192-S,LJ,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Multi,S,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
227,LJ-0192-S,LJ,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Multi,S,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
228,LJ-0192-S,LJ,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Multi,S,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
229,LJ-0192-M,LJ,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,Multi,M,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
230,LJ-0192-M,LJ,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,Multi,M,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
231,LJ-0192-M,LJ,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,Multi,M,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
232,LJ-0192-L,LJ,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,Multi,L,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
233,LJ-0192-L,LJ,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,Multi,L,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
234,LJ-0192-L,LJ,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,Multi,L,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
235,LJ-0192-X,LJ,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,Multi,XL,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
236,LJ-0192-X,LJ,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,Multi,XL,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
237,LJ-0192-X,LJ,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,Multi,XL,S ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
238,FR-R92R-62,FR,"HL Road Frame - Red, 62",Road Frames,Components,Red,62,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
239,FR-R92R-62,FR,"HL Road Frame - Red, 62",Road Frames,Components,Red,62,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
240,FR-R92R-62,FR,"HL Road Frame - Red, 62",Road Frames,Components,Red,62,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
241,FR-R92R-44,FR,"HL Road Frame - Red, 44",Road Frames,Components,Red,44,R ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
